file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\spnego\SpnegoSecurityProviderIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.spnego.SpnegoSecurityProviderIntegrationTest,class,5,5,0,5,7,5,0,11,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,2,40,2,0,0,2,0,1,0,5,1,5,2,0,0,2,49,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\sampling\holder\ValueAndCount.java,com.linkedin.kafka.cruisecontrol.monitor.sampling.holder.ValueAndCount,class,1,2,1,1,7,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,0,2,1,0,1,0,0,19,2,0,2,0,1,0,9,6,2,3,0,0,0,0,38,0,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\analyzer\AnalyzerUnitTestUtils.java,com.linkedin.kafka.cruisecontrol.analyzer.AnalyzerUnitTestUtils,class,6,12,6,6,4,1,0,13,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,25,3,0,0,1,0,0,3,3,0,4,1,0,0,1,39,17,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\executor\Executor.java,com.linkedin.kafka.cruisecontrol.executor.Executor$ConcurrencyAdjuster,innerclass,14,14,0,14,43,1,0,47,33,0.73333335,0.0,0.0,15,0,5,10,0,0,5,0,0,3,5,0,0,5,0,0,2,0,4,147,12,2,10,1,1,9,2,27,4,25,2,0,0,1,189,1,7
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\async\progress\StepProgress.java,com.linkedin.kafka.cruisecontrol.async.progress.StepProgress,class,3,4,1,3,3,1,0,5,0,0.44444445,0.0,0.0,3,0,2,0,1,0,3,0,0,0,6,4,0,0,6,0,6,0,2,18,2,0,0,0,0,5,0,6,2,6,0,0,0,0,31,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\integrationTest\java\com\linkedin\kafka\cruisecontrol\ReplicaCapacityViolationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.ReplicaCapacityViolationIntegrationTest,class,18,19,1,18,11,2,0,28,41,0.8714286,0.0,0.0,10,1,6,2,2,0,8,0,0,0,7,5,0,7,0,0,7,0,10,72,6,0,0,0,0,19,8,17,3,17,1,1,0,2,88,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\ModelCompletenessRequirements.java,com.linkedin.kafka.cruisecontrol.monitor.ModelCompletenessRequirements,class,3,38,35,3,13,1,0,9,0,0.5625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,3,0,6,0,0,6,0,5,50,9,0,2,0,0,9,3,7,2,7,1,0,0,0,177,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-metrics-reporter\src\test\java\com\linkedin\kafka\cruisecontrol\metricsreporter\utils\CCAbstractZookeeperTestHarness.java,com.linkedin.kafka.cruisecontrol.metricsreporter.utils.CCAbstractZookeeperTestHarness,class,3,9,6,3,6,1,1,4,0,0.25,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,0,1,0,0,0,1,20,2,0,2,0,0,0,0,3,0,1,1,0,0,1,19,1025,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\parameters\StopProposalParameters.java,com.linkedin.kafka.cruisecontrol.servlet.parameters.StopProposalParameters,class,2,5,3,2,9,2,0,9,18,0.75,0.0,0.0,8,0,7,0,1,0,9,0,0,0,4,1,0,0,4,0,1,0,4,43,4,0,0,0,0,0,0,7,0,6,0,0,0,0,112,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\ReplicaCapacityGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.ReplicaCapacityGoal,class,22,29,7,22,37,2,0,55,44,0.7083333,0.0,0.0,12,0,5,2,4,1,10,0,0,0,2,1,0,2,0,0,1,0,14,162,7,5,3,0,1,13,5,28,7,22,3,0,1,0,204,1,3
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\monitor\sampling\aggregator\MetricSampleAggregatorState.java,com.linkedin.cruisecontrol.monitor.sampling.aggregator.MetricSampleAggregatorState$Anonymous1,anonymous,4,4,0,4,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\metricdefinition\KafkaMetricDef.java,com.linkedin.kafka.cruisecontrol.monitor.metricdefinition.KafkaMetricDef,enum,7,24,17,7,22,1,0,22,96,0.88125,0.0,0.0,16,12,12,3,0,1,14,0,0,0,10,6,0,10,0,0,10,0,11,144,15,3,2,0,0,1,0,14,0,15,2,0,1,1,137,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\sync\RightsizeRequest.java,com.linkedin.kafka.cruisecontrol.servlet.handler.sync.RightsizeRequest,class,13,15,2,13,13,3,0,21,7,0.6666667,0.0,0.0,6,0,4,1,1,0,5,0,0,0,3,1,1,0,2,0,1,0,2,47,4,0,6,0,0,5,0,10,0,9,2,0,0,0,93,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\executor\strategy\AbstractReplicaMovementStrategy.java,com.linkedin.kafka.cruisecontrol.executor.strategy.AbstractReplicaMovementStrategy$Anonymous1,anonymous,6,6,0,6,4,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,1,0,0,1,1,4,1,6,1,0,0,1,12,-1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\sampling\prometheus\DefaultPrometheusQuerySupplier.java,com.linkedin.kafka.cruisecontrol.monitor.sampling.prometheus.DefaultPrometheusQuerySupplier,class,5,7,2,5,7,1,0,9,2,0.625,0.0,0.0,4,0,2,2,0,0,2,0,0,0,4,2,0,3,0,1,3,0,6,94,2,0,0,1,1,70,4,7,6,6,2,0,0,0,106,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\response\ClusterPartitionState.java,com.linkedin.kafka.cruisecontrol.servlet.response.ClusterPartitionState,class,7,9,2,7,31,1,0,42,0,0.725,0.0,0.0,8,0,3,0,5,0,8,0,0,0,20,9,8,1,11,0,20,0,11,147,7,4,10,0,0,33,4,35,3,34,4,0,0,0,127,1,1
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\detector\notifier\SlackMessageTest.java,com.linkedin.kafka.cruisecontrol.detector.notifier.SlackMessageTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,1,1,1,0,0,0,0,9,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\parameters\TopicReplicationFactorChangeParameters.java,com.linkedin.kafka.cruisecontrol.servlet.parameters.TopicReplicationFactorChangeParameters,class,5,8,3,5,17,2,0,20,71,0.8636364,0.0,0.0,14,1,11,0,2,1,15,0,0,0,11,1,0,0,11,0,1,0,12,90,13,0,0,0,0,1,1,13,0,14,1,0,0,1,118,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\AnomalyDetails.java,com.linkedin.kafka.cruisecontrol.detector.AnomalyDetails,class,12,14,2,12,18,1,0,16,0,0.375,0.0,0.0,2,0,1,0,0,1,2,0,0,0,16,12,0,0,16,0,12,0,2,80,1,0,0,0,0,13,0,24,1,24,2,0,0,0,78,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\CruiseControlEndPoint.java,com.linkedin.kafka.cruisecontrol.servlet.CruiseControlEndPoint,enum,2,11,9,2,5,1,0,4,8,0.75,0.0,0.0,5,3,4,0,0,1,5,0,0,0,4,3,0,4,0,0,4,0,7,20,4,0,0,0,0,0,0,4,0,4,0,0,0,0,42,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\IdempotenceCache.java,com.linkedin.kafka.cruisecontrol.detector.IdempotenceCache$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\KafkaCruiseControlUtils.java,com.linkedin.kafka.cruisecontrol.KafkaCruiseControlUtils,class,53,85,32,53,111,1,0,162,636,0.9768339,0.0,0.0,37,36,29,8,0,0,29,0,0,0,28,28,24,4,0,0,28,0,52,465,37,6,16,19,5,69,28,91,22,89,4,0,1,7,532,17,12
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\sampling\KafkaSampleStore.java,com.linkedin.kafka.cruisecontrol.monitor.sampling.KafkaSampleStore$MetricLoader,innerclass,11,11,0,11,27,1,0,47,0,0.375,0.0,0.0,4,0,1,0,2,1,4,0,0,0,6,0,0,0,6,0,6,0,3,123,4,7,2,3,0,11,2,21,6,19,6,0,0,0,118,4,10
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\LoadRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.LoadRunnable,class,13,16,3,13,15,2,0,29,0,0.42857146,0.0,0.0,7,0,4,1,2,0,6,0,0,0,6,0,0,0,6,0,6,0,1,69,7,0,3,1,0,1,2,18,0,11,2,0,0,0,103,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\servlet\EndpointType.java,com.linkedin.cruisecontrol.servlet.EndpointType,interface,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\exception\ReplicaToBrokerSetMappingException.java,com.linkedin.kafka.cruisecontrol.exception.ReplicaToBrokerSetMappingException,class,1,2,1,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\response\KafkaClusterState.java,com.linkedin.kafka.cruisecontrol.servlet.response.KafkaClusterState,class,14,16,2,14,8,2,0,16,0,0.4857143,0.0,0.0,5,0,1,0,4,0,5,0,0,0,7,2,2,0,5,0,6,0,0,56,3,0,0,2,0,4,0,19,0,17,1,0,0,0,95,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\sampling\prometheus\PrometheusMetricSampler.java,com.linkedin.kafka.cruisecontrol.monitor.sampling.prometheus.PrometheusMetricSampler,class,22,24,2,22,39,2,0,53,77,0.8896103,0.0,0.0,14,0,2,11,1,0,3,0,0,0,11,6,0,4,4,3,6,0,10,180,9,6,7,5,0,21,9,42,6,37,4,0,0,0,171,1,3
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\parameters\ClusterLoadParameters.java,com.linkedin.kafka.cruisecontrol.servlet.parameters.ClusterLoadParameters,class,3,6,3,3,12,2,0,13,33,0.81428576,0.0,0.0,10,0,9,0,1,0,11,0,0,0,7,1,0,0,7,0,1,0,9,59,7,0,1,0,0,0,2,9,0,9,0,0,0,0,94,1,0
